"","d","d","d"
"336","0.12886804361417","History","Science.and.technology"
"337","0.184561136982976","History","Theatre"
"338","0.0236107443885247","History","Fun.with.friends"
"339","0.0586367257514073","History","Adrenaline.sports"
"340","0.0364223621694409","History","Pets"
"341","-0.0516862009141462","History","Flying"
"342","-0.0918064659441915","History","Storm"
"343","-0.0652246849557342","History","Darkness"
"344","-0.0104065252735503","History","Heights"
"345","-0.0757803393516608","History","Spiders"
"346","-0.0330862942115232","History","Snakes"
"347","-0.0645557978810803","History","Rats"
"348","-0.0518369784584302","History","Ageing"
"349","-0.0646117250523159","History","Dangerous.dogs"
"350","-0.0836140226554089","History","Fear.of.public.speaking"
"351","0.0834783448341807","History","Healthy.eating"
"352","0.225075917742838","History","Daily.events"
"353","0.0481981109335294","History","Prioritising.workload"
"354","0.0399683485528831","History","Writing.notes"
"355","0.139185967157774","History","Workaholism"
"356","0.130200326113939","History","Thinking.ahead"
"357","0.028118303412656","History","Final.judgement"
"358","0.0823171338844669","History","Reliability"
"359","0.0748764280776505","History","Keeping.promises"
"360","0.0303209409548934","History","Loss.of.interest"
"361","0.0196611878008958","History","Friends.versus.money"
"362","0.0741914901671774","History","Funniness"
"363","0.0531055412825976","History","Fake"
"364","0.0375409154827293","History","Criminal.damage"
"365","-0.0330820474065884","History","Decision.making"
"366","0.137732513551339","History","Elections"
"367","0.101184102620108","History","Self.criticism"
"368","0.0670116379152005","History","Judgment.calls"
"369","-0.0237844294787905","History","Hypochondria"
"370","0.026827687826688","History","Empathy"
"371","-0.0603877363818621","History","Eating.to.survive"
"372","0.00152306302697044","History","Giving"
"373","0.0641050774175576","History","Compassion.to.animals"
"374","0.0730935115989205","History","Borrowed.stuff"
"375","-0.0386524316082673","History","Loneliness"
"376","-0.0533735238710455","History","Cheating.in.school"
"377","-0.0182089982068741","History","Health"
"378","-0.0184078371142643","History","Changing.the.past"
"379","0.047457847043266","History","God"
"380","0.0563573733368679","History","Dreams"
"381","0.15664346062825","History","Charity"
"382","0.0426106076089755","History","Number.of.friends"
"383","0.00545878328473348","History","Waiting"
"384","0.0579945598121391","History","New.environment"
"385","-0.0346168125393564","History","Mood.swings"
"386","0.058099357241352","History","Appearence.and.gestures"
"387","0.0457734260177406","History","Socializing"
"388","0.0268136776373922","History","Achievements"
"389","0.0406926047748027","History","Responding.to.a.serious.letter"
"390","-0.0101718013277156","History","Children"
"391","0.0810958367989333","History","Assertiveness"
"392","-0.0340692508422003","History","Getting.angry"
"393","0.0267603098537877","History","Knowing.the.right.people"
"394","-0.139466274335842","History","Public.speaking"
"395","0.0244216514507509","History","Unpopularity"
"396","-0.0664667204502831","History","Life.struggles"
"397","-0.0162407809349461","History","Happiness.in.life"
"398","0.00366090160234577","History","Energy.levels"
"399","0.102541472633542","History","Small...big.dogs"
"400","0.0369947750155786","History","Personality"
"401","0.0239577927061967","History","Finding.lost.valuables"
"402","-0.0288981215179401","History","Getting.up"
"403","0.146591418488727","History","Interests.or.hobbies"
"404","0.0429271558791285","History","Parents..advice"
"405","0.0355191994139364","History","Questionnaires.or.polls"
"406","0.10664336786489","History","Age"
"407","-0.0282791410249232","History","Number.of.siblings"
"408","0.0539093809549759","Psychology","Music"
"409","-0.049273969473845","Psychology","Slow.songs.or.fast.songs"
"410","0.00251185770775411","Psychology","Movies"
"411","0.286309511333217","Psychology","History"
"412","1","Psychology","Psychology"
"413","0.197836924163005","Psychology","Politics"
"414","0.0447719168389854","Psychology","Mathematics"
"415","0.0664531834934057","Psychology","Physics"
"416","-0.0038601757160958","Psychology","Internet"
"417","-0.0765692666771517","Psychology","PC"
"418","0.0846037923222044","Psychology","Economy.Management"
"419","0.204270366518431","Psychology","Biology"
"420","0.0589567618014827","Psychology","Chemistry"
"421","0.230272469945854","Psychology","Reading"
"422","0.0617264372398379","Psychology","Geography"
"423","0.195806998789906","Psychology","Foreign.languages"
"424","0.206783688676998","Psychology","Medicine"
"425","0.184732106563914","Psychology","Law"
"426","-0.119768955260675","Psychology","Cars"
"427","0.286371968973011","Psychology","Art.exhibitions"
"428","0.218361267203965","Psychology","Religion"
"429","0.056013666635319","Psychology","Countryside..outdoors"
"430","0.172182617087087","Psychology","Dancing"
"431","0.123182017399408","Psychology","Musical.instruments"
"432","0.253850638626932","Psychology","Writing"
"433","-0.0837438044166029","Psychology","Passive.sport"
